Filter Name,50% a,50% b,50% x0,50% c,90% a,90% b,90% x0,90% c,95% a,95% b,95% x0,95% c
WFC3 UVIS F225W,24.432716030617833,-4.9989259635270695,-1.35834446477884,1.3584177761366552,24.082482570700282,-4.932818913670014,-1.4712807686165805,1.630921991065773,23.970981552813686,-4.938870782847509,-1.491595229128074,1.6924548971804938
WFC3 UVIS F275W,24.25285975444927,-5.0,-1.3628310509821346,1.3400421291871663,23.910345418215634,-4.95901464207934,-1.471809598876812,1.5929541949023562,23.812352345175494,-4.964345396633143,-1.5052616553763325,1.6986760296612478
WFC3 UVIS F300X,24.81242599269137,-5.0,-1.300131611113448,1.3247905603226455,24.503161788266464,-4.940937116898309,-1.4908707951601021,1.690265979601636,24.38431407505496,-4.950196939084954,-1.5134634346861486,1.7529444111688905
WFC3 UVIS F336W,24.732484723933275,-5.0,-1.3751291651885045,1.314031197862802,24.32108986209166,-5.0,-1.469771760550285,1.5695544061857634,24.192519835192336,-5.0,-1.5270468047050048,1.7696330815709616
WFC3 UVIS F390W,25.473756001895353,-5.0,-1.3640098000770475,1.3062776752956382,25.141444506705216,-5.0,-1.4333350146457255,1.484443632206716,25.04828563550554,-5.0,-1.4587528624906625,1.5612923383146953
WFC3 UVIS F438W,24.98322682490633,-5.0,-1.3662457929160505,1.3075962480792034,24.621148189312958,-5.0,-1.4333334032411413,1.4666807036541796,24.523146172597286,-5.0,-1.4624462718423865,1.5514681524375553
WFC3 UVIS F475W,25.81605842626561,-4.995695915367003,-1.370371641926243,1.3099357728227128,25.419567590269995,-5.0,-1.4586223571550943,1.5509109171101443,25.32010295352668,-5.0,-1.547824239390385,1.8961460742128626
WFC3 UVIS F475X,25.702352015670318,-5.0,-1.3688263757807506,1.3139610060401676,25.345248030735892,-5.0,-1.4530519407619553,1.5097466712359529,25.229141886482058,-4.985024030688535,-1.5386291086729929,1.792720094522191
WFC3 UVIS F555W,24.97727178221952,-5.0,-1.379121185379934,1.3168515906979887,24.20978421661133,-4.789706282328342,-1.5127376660266207,2.3443629942209863,23.683883895021136,-4.3188880105659635,-1.6578353540142874,3.1759431694569984
WFC3 UVIS F606W,25.912081934439765,-5.0,-1.3682739503836476,1.292045491491036,25.56433449953248,-5.0,-1.450046566647834,1.4991325290480002,25.52301543677082,-5.0,-1.5546646868599459,1.8883473796944499
WFC3 UVIS F625W,25.287947668006236,-5.0,-1.3661815457631132,1.2985011293855917,24.835661007117928,-5.0,-1.485551802434878,1.645436877230137,24.403586255460564,-4.7661474985844245,-1.6204875110342642,2.695607168133324
WFC3 UVIS F775W,24.612044744822963,-5.0,-1.3649371496902563,1.3161062653432405,24.225310383614342,-5.0,-1.4392801414604175,1.5136594669109278,24.130882124540374,-5.0,-1.5055284565781344,1.7458469216872163
WFC3 UVIS F814W,24.89019659251989,-4.998515372802838,-1.3740966474608667,1.3245795534102704,24.415010927323,-5.0,-1.479474417053556,1.622395449747348,24.039017716182514,-4.665631361833624,-1.5936211143880785,1.740994121721022
WFC3 UVIS F850LP,23.374827906597485,-5.0,-1.3652166723105303,1.3034496141853433,22.99256033710602,-5.0,-1.4341098105695005,1.465900809456384,22.889990948055907,-5.0,-1.4779916171835557,1.6024461683738667
